p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
13,-3,-0.832050,2.3024920942e+01,7.0389610390e-01,5.8709956710e+00,2.5692307692e+01,1.1158478136,0.2549844008,0.0305710541,0.4014032686,-1
19,-3,-0.688247,6.3227349540e+01,4.2687004172e+00,1.2859392079e+01,7.4684210526e+01,1.1812010320,0.2033833803,0.0675135119,0.4520979242,-1
31,-4,-0.718421,2.1055521867e+02,6.2005757970e+01,3.9849403788e+01,2.3074193548e+02,1.0958737425,0.1892586849,0.2944869206,0.5796193480,-1
43,-3,-0.457496,4.5315548799e+02,1.1206162775e+02,8.2794939490e+01,4.8946511628e+02,1.0801262023,0.1827075732,0.2472917811,0.5101255566,-1
47,-3,-0.437595,5.5766289955e+02,1.3648290546e+02,8.7396811888e+01,6.1261702128e+02,1.0985436216,0.1567197889,0.2447408741,0.5000042845,-1
53,-3,-0.412082,7.3417144781e+02,1.6961198251e+02,1.2117345991e+02,8.0298113208e+02,1.0937242717,0.1650479057,0.2310250324,0.4897972098,-1
71,-3,-0.356034,1.3877497503e+03,3.9477487014e+02,2.1716328192e+02,1.4974225352e+03,1.0790292233,0.1564859096,0.2844712241,0.5199863570,-1
73,-4,-0.468165,1.5411760260e+03,7.3040519853e+02,2.6102579265e+02,1.5434520548e+03,1.0014768130,0.1693679296,0.4739271739,0.6447719165,-1
79,-4,-0.450035,1.7913816299e+03,7.0534533302e+02,2.7522623908e+02,1.8737341772e+03,1.0459715261,0.1536390876,0.3937437569,0.5933543706,-1
83,-4,-0.439057,2.0638077039e+03,8.6757971794e+02,2.9864994893e+02,2.2037951807e+03,1.0678297094,0.1447082247,0.4203781759,0.6329161100,-1
107,-3,-0.290021,3.5401874378e+03,1.4679869677e+03,5.0839138217e+02,3.7224205607e+03,1.0514755578,0.1436057811,0.4146636283,0.6097449671,-1
109,-4,-0.383131,3.8231245452e+03,2.1076772863e+03,5.7160030633e+02,3.9116880734e+03,1.0231652218,0.1495112962,0.5512970507,0.7239735688,-1
113,-5,-0.470360,4.1568073175e+03,2.7282042628e+03,6.1789857803e+02,4.1856991150e+03,1.0069504779,0.1486473947,0.6563220410,0.8119199137,-1
131,-3,-0.262111,5.5263603529e+03,2.2241572958e+03,8.0664694270e+02,5.6532137405e+03,1.0229542374,0.1459635078,0.4024633129,0.5713810581,-1
139,-4,-0.339276,6.3092493307e+03,3.3870557045e+03,8.9719820655e+02,6.5036762590e+03,1.0308161745,0.1422036378,0.5368397296,0.7098595419,-1
173,-3,-0.228086,1.0009849481e+04,5.0084143683e+03,1.4369211632e+03,1.0140104046e+04,1.0130126398,0.1435507263,0.5003486194,0.6569119855,-1
179,-3,-0.224231,1.0708082752e+04,5.0642284424e+03,1.4687302963e+03,1.1164106145e+04,1.0425868387,0.1371609027,0.4729351238,0.6526828653,-1
181,-4,-0.297318,1.1227907147e+04,7.0934588186e+03,1.6183588706e+03,1.1263878453e+04,1.0032037409,0.1441371797,0.6317703491,0.7791112698,-1
191,-5,-0.361787,1.2119443762e+04,6.7099582951e+03,1.7277978844e+03,1.2412654450e+04,1.0241934114,0.1425641241,0.5536523315,0.7204098670,-1
193,-6,-0.431889,1.2717988003e+04,8.8430231276e+03,1.8617809049e+03,1.2648393782e+04,0.9945278907,0.1463895786,0.6953162029,0.8362336722,-1
