label,band,rank,weight,conductor,K,precision,N_zeros,Tmax,E_C1,E_C1_sq,error,provenance_hash
389a1,B1,2,2,389,10000,50,200,150,1.525066685304118122370960151952756289487558878504,2.5496220331610598099588084586095354830969268169196,,048bdacbe685699663c3ba3c8e05331aa794222e54e48c073f25912cf85eef9e
433a1,B1,2,2,433,10000,50,200,150,1.5160500012162787554460415437279606029996422240324,2.4880292277888033482171103383124869708083465944137,,85d15c46d51fb640c72426f2cf669e820e6854c704909d5323d11761cd026b34
446d1,B1,2,2,446,10000,50,200,150,1.6213412885534423785648666507577239714986180936076,3.1386911370482356957899888475653650013449176643168,,0a3d3e22dea82c0789b08b50e7bf27ebc578eaa959ceaf98d8d5f4ed435cf202
571b1,B1,2,2,571,10000,50,200,150,1.5236479494437646298004865169349006647626145101092,2.5467534260271349979200523905630743675923648570148,,d318b15b366676f95f274f2e790a91e5e1f1e13494a1063ade579d445ff07dec
390b1,B1,0,2,390,10000,50,200,150,1.5808267825751881228141026413324617415083787048533,2.9630350144624446564240420418563216642003750734751,,83f6affdd47602d607dcb18a593c00e24d3dcdbc12c6a722b5aff6b61bd6e558
446c1,B1,0,2,446,10000,50,200,150,1.5900874018462014203641880885972543946113936803341,2.9397415931945829230036582014923309394794536814473,,539eabc1852ae8d8a30c169dafeb42ebf7bad22d14ae65ab32e989ac1f27b21b
571a1,B1,0,2,571,10000,50,200,150,1.5474437617769293206680964883576295648406006581657,2.534134177641935219943884063205960111784059927875,,efec3b685b06a69e8edadd99f98056cd21b7b8b286e1024912b37607a09bb881
390a1,B1,1,2,390,10000,50,200,150,1.5488204811630887410372066803101312584961301265334,2.8687811258593435498398787456615147695043170859569,,bb3af47c4ca0aeea1e48346bfc517fb210c7421d47da12be5b920943c409385d
446a1,B1,1,2,446,10000,50,200,150,1.5349275785202230277676317388935353136014653142249,2.7105204116928501345331694501016778163707154884922,,d395e31b7eea346d9dbcb7594a4b791431798c95aa8381a97b95b90fc406427a
446b1,B1,1,2,446,10000,50,200,150,1.4980638774122572984686047725068695101092516314423,2.5969867319814377494890712490409044425769594298386,,8aaefbbf26f610d98bbf51fbdbe297f9cb93765d1b81c2f7e2c835ca377cf75a
5077a1,B2,3,2,5077,10000,50,200,150,1.8979219580167829953850676350026190853401156285658,4.6473797747556930927608552877818939905850818535298,,fe62645cc9b1b438627bf5a62267c38fcae359f1c3c310faf64249481455ffa0
5075d1,B2,0,2,5075,10000,50,200,150,1.6846862168544084372357124432658135738477858030891,3.0312732978401618978728096915360817540420007702437,,912e09c68184d24cb29f59141e41ac2d04ad70adae3428913e743a845c0d24d4
5076a1,B2,0,2,5076,10000,50,200,150,1.7832132086417568304129317785455609284634159822888,3.7888419010373876782023823944695962708174207951675,,f7a5604b68fa56c9b1bb117dec0d2063d3e601f05c58b65f32ccaabb99258291
5076b1,B2,1,2,5076,10000,50,200,150,1.7676325565939695585516262449704979371509362233962,3.7138513768686483032172704887302473476208494087979,,5bc39fa86787b39351d0184839600f9aaed5bf466428ce58ae7cfc3b7b9fae35
5076c1,B2,1,2,5076,10000,50,200,150,1.689714531674296192993882885936099255811679556333,3.3110166575936867060766662013897334171319629574044,,dc594396842ddafa04804e431329ecd94406b53d3f6c27dd4eca6788ae1aa341
5067b1,B2,2,2,5067,10000,50,200,150,1.6380592097123148994720233497320217784770956929292,2.903476424998121006229388150081303326249446365994,,10db9dc328c2cb7166285b5f95d4bd2ee98172feecaffdb221402ec633cd5cb7
5082d1,B2,2,2,5082,10000,50,200,150,1.7416981763395530308449600046281686076389476487593,3.7342197675411789798575831124463282602703734927289,,2d210a40f74cec11018bc076d2586e37ecaa48331cdf6626fc3b813a816a7d40
