label,band,role,rank,weight,conductor,nearest_target_distance
389a1,B1,target,2,2,389,0
433a1,B1,target,2,2,433,0
446d1,B1,target,2,2,446,0
571b1,B1,target,2,2,571,0
390b1,B1,control,0,2,390,1
446c1,B1,control,0,2,446,0
571a1,B1,control,0,2,571,0
390a1,B1,control,1,2,390,1
446a1,B1,control,1,2,446,0
446b1,B1,control,1,2,446,0
5077a1,B2,target,3,2,5077,0
5075d1,B2,control,0,2,5075,2
5076a1,B2,control,0,2,5076,1
5076b1,B2,control,1,2,5076,1
5076c1,B2,control,1,2,5076,1
5067b1,B2,control,2,2,5067,10
5082d1,B2,control,2,2,5082,5
