x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
1,discovery,0,0,True,1
10,discovery,-2.6876984126984125,-2.6876984126984126984126984126984126984126984126984126984126984126984126984126984,True,-1
100,discovery,-5.6358657035730371,-5.6358657035730371140292643967713436016679638975907208767507397788120108465367174,True,1
1000,discovery,-10.193429825638583,-10.193429825638581216751518139162457094462731430861488499788795097679683037234198,True,2
10000,discovery,-29.147932773510359,-29.147932773510361731446265178053894878927841652408840758364430754640331068439432,True,-23
20000,discovery,-3.5182492069307165,-3.5182492069307187583066905584940731495889928970654901874063011653124439250625840,True,26
30000,discovery,-5.8797094396440874,-5.8797094396440936236897040285970859143441715514448066089972161560432779556787594,True,18
40000,discovery,-22.462649943867948,-22.462649943867953028442781740501359913333186771771153984914211510370034648163809,True,-10
50000,discovery,-9.0291946873819366,-9.0291946873819428108713138645704361050237142349759201492513816690515406714908862,True,23
60000,discovery,-77.617219037825521,-77.617219037825534890746238602882859156051064609190760067457165217715413293184497,True,-83
70000,discovery,35.978650812938483,35.978650812938474493200460134889246895256995315482316603080420718742502355735236,True,74
80000,discovery,-16.293783771332485,-16.293783771332495652171535371461548416375213433559380827907388384934112664752420,True,3
90000,discovery,-9.2790415419496455,-9.2790415419496493104142887814473764715794341489164688199200932150283524295701225,True,11
100000,discovery,-51.015575746939319,-51.015575746939327576186076708945550645900201499067266624700496833446313365156709,True,-48
110000,discovery,-27.87956636318572,-27.879566363185722137065704710536861155438157478843445705518429844398073862060836,True,-12
120000,discovery,38.194288689949317,38.194288689949320992596945696656438736267547433669515387214314454056266376800436,True,104
130000,discovery,-24.267349468886334,-24.267349468886330880892239964822455337129392642236180073968182127175668295237809,True,-5
140000,discovery,-65.64148549972461,-65.641485499724614515306759017960887695190863864953061146942152332657243173508686,True,-90
150000,discovery,-48.771268590843704,-48.771268590843694168702355313227638212672667127781806059394996717426018638607403,True,-50
160000,discovery,-68.27059479309149,-68.270594793091482877271172588543011819730518128793697956660466109504511766560898,True,-67
170000,discovery,59.437695668165432,59.437695668165432499388965442016093174885004092931242045013147201087716973315440,True,98
180000,discovery,-2.2923354200774382,-2.2923354200774418776505751136861202616773040777718704513158489089821343107664994,True,39
190000,discovery,-34.234707858590689,-34.234707858590697391718257106410284148822551634433233291167459420369781872870975,True,28
200000,discovery,-30.91571558035686,-30.915715580356867073316148043959508214849832935888296528750430041918829350124772,True,-1
210000,discovery,-72.743980931405275,-72.743980931405278290122385631417727733831231377901081914020434544528290927803731,True,-63
220000,discovery,-43.9872156338796,-43.987215633879603371279211813229697614769294077426062908244842867474061626701850,True,-30
