q	window	n_points	rank_changes	leader_changes	minus_one_leader_fraction	minimum_rank	maximum_rank	endpoint_rank	endpoint_leaders
7	full	438	180	158	0.335616438	1	3	1	6
7	x_ge_1e10	234	95	86	0.38034188	1	3	1	6
7	x_ge_1e13	78	27	24	0.435897436	1	3	1	6
7	top_decade	53	17	13	0.358490566	1	3	1	6
8	full	438	177	145	0.324200913	1	3	3	5
8	x_ge_1e10	234	95	73	0.324786325	1	3	3	5
8	x_ge_1e13	78	32	20	0.397435897	1	3	3	5
8	top_decade	53	23	15	0.358490566	1	3	3	5
11	full	438	240	187	0.210045662	1	5	3	7
11	x_ge_1e10	234	117	94	0.188034188	1	5	3	7
11	x_ge_1e13	78	47	33	0.269230769	1	5	3	7
11	top_decade	53	30	26	0.377358491	1	5	3	7
19	full	438	238	148	0.317351598	1	9	6	3
19	x_ge_1e10	234	126	76	0.307692308	1	9	6	3
19	x_ge_1e13	78	30	17	0.384615385	1	9	6	3
19	top_decade	53	17	8	0.41509434	1	9	6	3
23	full	438	332	203	0.0593607306	1	11	1	22
23	x_ge_1e10	234	178	103	0.0683760684	1	11	1	22
23	x_ge_1e13	78	56	33	0.0897435897	1	11	1	22
23	top_decade	53	39	23	0.132075472	1	9	1	22
