# mr1_par Xmax=300000000000000 grid=438 T=11 NCHUNK=224
# schema: N<TAB>x<TAB>a<TAB>count  and  TOTAL<TAB>N<TAB>x<TAB>pi_x
7	1000000	0	1
7	1000000	1	13063
7	1000000	2	13065
7	1000000	3	13105
7	1000000	4	13069
7	1000000	5	13105
7	1000000	6	13090
TOTAL	7	1000000	78498
8	1000000	0	0
8	1000000	1	19552
8	1000000	2	1
8	1000000	3	19653
8	1000000	4	0
8	1000000	5	19623
8	1000000	6	0
8	1000000	7	19669
TOTAL	8	1000000	78498
11	1000000	0	1
11	1000000	1	7858
11	1000000	2	7843
11	1000000	3	7814
11	1000000	4	7839
11	1000000	5	7853
11	1000000	6	7876
11	1000000	7	7874
11	1000000	8	7873
11	1000000	9	7828
11	1000000	10	7839
TOTAL	11	1000000	78498
19	1000000	0	1
19	1000000	1	4329
19	1000000	2	4385
19	1000000	3	4364
19	1000000	4	4340
19	1000000	5	4382
19	1000000	6	4350
19	1000000	7	4366
19	1000000	8	4360
19	1000000	9	4343
19	1000000	10	4380
19	1000000	11	4357
19	1000000	12	4355
19	1000000	13	4374
19	1000000	14	4364
19	1000000	15	4337
19	1000000	16	4369
19	1000000	17	4342
19	1000000	18	4400
TOTAL	19	1000000	78498
23	1000000	0	1
23	1000000	1	3577
23	1000000	2	3565
23	1000000	3	3556
23	1000000	4	3571
23	1000000	5	3563
23	1000000	6	3573
23	1000000	7	3553
23	1000000	8	3573
23	1000000	9	3548
23	1000000	10	3566
23	1000000	11	3570
23	1000000	12	3514
23	1000000	13	3589
23	1000000	14	3586
23	1000000	15	3573
23	1000000	16	3569
23	1000000	17	3583
23	1000000	18	3552
23	1000000	19	3573
23	1000000	20	3589
23	1000000	21	3582
23	1000000	22	3572
TOTAL	23	1000000	78498
7	1047112	0	1
7	1047112	1	13644
7	1047112	2	13633
7	1047112	3	13672
7	1047112	4	13636
7	1047112	5	13668
7	1047112	6	13665
TOTAL	7	1047112	81919
8	1047112	0	0
8	1047112	1	20432
8	1047112	2	1
8	1047112	3	20491
8	1047112	4	0
8	1047112	5	20472
8	1047112	6	0
8	1047112	7	20523
TOTAL	8	1047112	81919
11	1047112	0	1
11	1047112	1	8200
11	1047112	2	8192
11	1047112	3	8168
11	1047112	4	8188
11	1047112	5	8187
11	1047112	6	8207
11	1047112	7	8219
11	1047112	8	8213
11	1047112	9	8173
11	1047112	10	8171
TOTAL	11	1047112	81919
19	1047112	0	1
19	1047112	1	4531
19	1047112	2	4576
19	1047112	3	4575
19	1047112	4	4533
19	1047112	5	4571
19	1047112	6	4544
19	1047112	7	4563
19	1047112	8	4545
19	1047112	9	4522
19	1047112	10	4576
19	1047112	11	4549
19	1047112	12	4543
19	1047112	13	4559
19	1047112	14	4544
19	1047112	15	4525
19	1047112	16	4541
19	1047112	17	4539
19	1047112	18	4582
TOTAL	19	1047112	81919
23	1047112	0	1
23	1047112	1	3719
23	1047112	2	3719
23	1047112	3	3708
23	1047112	4	3730
23	1047112	5	3743
23	1047112	6	3722
23	1047112	7	3712
23	1047112	8	3723
23	1047112	9	3695
23	1047112	10	3720
23	1047112	11	3734
23	1047112	12	3670
23	1047112	13	3753
23	1047112	14	3741
23	1047112	15	3720
23	1047112	16	3723
23	1047112	17	3737
23	1047112	18	3714
23	1047112	19	3735
23	1047112	20	3742
23	1047112	21	3732
23	1047112	22	3726
TOTAL	23	1047112	81919
7	1096444	0	1
7	1096444	1	14247
7	1096444	2	14211
7	1096444	3	14271
7	1096444	4	14223
7	1096444	5	14268
7	1096444	6	14243
TOTAL	7	1096444	85464
8	1096444	0	0
8	1096444	1	21317
8	1096444	2	1
8	1096444	3	21370
8	1096444	4	0
8	1096444	5	21368
8	1096444	6	0
8	1096444	7	21408
TOTAL	8	1096444	85464
11	1096444	0	1
11	1096444	1	8548
11	1096444	2	8548
11	1096444	3	8521
11	1096444	4	8545
11	1096444	5	8534
11	1096444	6	8577
11	1096444	7	8567
11	1096444	8	8565
11	1096444	9	8528
11	1096444	10	8530
TOTAL	11	1096444	85464
19	1096444	0	1
19	1096444	1	4731
19	1096444	2	4764
19	1096444	3	4771
19	1096444	4	4733
19	1096444	5	4763
19	1096444	6	4752
19	1096444	7	4769
19	1096444	8	4744
19	1096444	9	4704
19	1096444	10	4766
19	1096444	11	4732
19	1096444	12	4737
19	1096444	13	4755
19	1096444	14	4740
19	1096444	15	4722
19	1096444	16	4760
19	1096444	17	4743
19	1096444	18	4777
TOTAL	19	1096444	85464
23	1096444	0	1
23	1096444	1	3881
23	1096444	2	3870
23	1096444	3	3872
23	1096444	4	3899
23	1096444	5	3897
23	1096444	6	3883
23	1096444	7	3870
23	1096444	8	3885
23	1096444	9	3854
23	1096444	10	3889
23	1096444	11	3890
23	1096444	12	3843
23	1096444	13	3914
23	1096444	14	3896
23	1096444	15	3886
23	1096444	16	3885
23	1096444	17	3900
23	1096444	18	3874
23	1096444	19	3884
23	1096444	20	3892
23	1096444	21	3906
23	1096444	22	3893
TOTAL	23	1096444	85464
7	1148100	0	1
7	1148100	1	14865
7	1148100	2	14849
7	1148100	3	14870
7	1148100	4	14830
7	1148100	5	14876
7	1148100	6	14880
TOTAL	7	1148100	89171
8	1148100	0	0
8	1148100	1	22214
8	1148100	2	1
8	1148100	3	22318
8	1148100	4	0
8	1148100	5	22315
8	1148100	6	0
8	1148100	7	22323
TOTAL	8	1148100	89171
11	1148100	0	1
11	1148100	1	8924
11	1148100	2	8926
11	1148100	3	8893
11	1148100	4	8928
11	1148100	5	8907
11	1148100	6	8939
11	1148100	7	8931
11	1148100	8	8926
11	1148100	9	8907
11	1148100	10	8889
TOTAL	11	1148100	89171
19	1148100	0	1
19	1148100	1	4926
19	1148100	2	4974
19	1148100	3	4975
19	1148100	4	4941
19	1148100	5	4977
19	1148100	6	4949
19	1148100	7	4968
19	1148100	8	4948
19	1148100	9	4921
19	1148100	10	4991
19	1148100	11	4937
19	1148100	12	4948
19	1148100	13	4969
19	1148100	14	4936
19	1148100	15	4936
19	1148100	16	4951
19	1148100	17	4940
19	1148100	18	4983
TOTAL	19	1148100	89171
23	1148100	0	1
23	1148100	1	4058
23	1148100	2	4024
23	1148100	3	4023
23	1148100	4	4071
23	1148100	5	4072
23	1148100	6	4057
23	1148100	7	4041
23	1148100	8	4057
23	1148100	9	4022
23	1148100	10	4051
23	1148100	11	4056
23	1148100	12	4012
23	1148100	13	4078
23	1148100	14	4061
23	1148100	15	4051
23	1148100	16	4062
23	1148100	17	4078
23	1148100	18	4036
23	1148100	19	4057
23	1148100	20	4070
23	1148100	21	4074
23	1148100	22	4059
TOTAL	23	1148100	89171
7	1202189	0	1
7	1202189	1	15526
7	1202189	2	15506
7	1202189	3	15528
7	1202189	4	15494
7	1202189	5	15503
7	1202189	6	15528
TOTAL	7	1202189	93086
8	1202189	0	0
8	1202189	1	23205
8	1202189	2	1
8	1202189	3	23285
8	1202189	4	0
8	1202189	5	23300
8	1202189	6	0
8	1202189	7	23295
TOTAL	8	1202189	93086
11	1202189	0	1
11	1202189	1	9314
11	1202189	2	9331
11	1202189	3	9280
11	1202189	4	9327
11	1202189	5	9300
11	1202189	6	9330
11	1202189	7	9319
11	1202189	8	9316
11	1202189	9	9289
11	1202189	10	9279
TOTAL	11	1202189	93086
19	1202189	0	1
19	1202189	1	5147
19	1202189	2	5193
19	1202189	3	5203
19	1202189	4	5164
19	1202189	5	5194
19	1202189	6	5166
19	1202189	7	5188
19	1202189	8	5168
19	1202189	9	5135
19	1202189	10	5191
19	1202189	11	5159
19	1202189	12	5170
19	1202189	13	5186
19	1202189	14	5167
19	1202189	15	5147
19	1202189	16	5152
19	1202189	17	5157
19	1202189	18	5198
TOTAL	19	1202189	93086
23	1202189	0	1
23	1202189	1	4228
23	1202189	2	4210
23	1202189	3	4195
23	1202189	4	4239
23	1202189	5	4247
23	1202189	6	4250
23	1202189	7	4222
23	1202189	8	4234
23	1202189	9	4207
23	1202189	10	4241
23	1202189	11	4224
23	1202189	12	4205
23	1202189	13	4250
23	1202189	14	4249
23	1202189	15	4233
23	1202189	16	4228
23	1202189	17	4252
23	1202189	18	4218
23	1202189	19	4240
23	1202189	20	4238
23	1202189	21	4242
23	1202189	22	4233
TOTAL	23	1202189	93086
7	1258827	0	1
7	1258827	1	16201
7	1258827	2	16148
7	1258827	3	16204
7	1258827	4	16145
7	1258827	5	16185
7	1258827	6	16216
TOTAL	7	1258827	97100
8	1258827	0	0
8	1258827	1	24213
8	1258827	2	1
8	1258827	3	24295
8	1258827	4	0
8	1258827	5	24296
8	1258827	6	0
8	1258827	7	24295
TOTAL	8	1258827	97100
11	1258827	0	1
11	1258827	1	9706
11	1258827	2	9733
11	1258827	3	9690
11	1258827	4	9730
11	1258827	5	9689
11	1258827	6	9743
11	1258827	7	9705
11	1258827	8	9731
11	1258827	9	9695
11	1258827	10	9677
TOTAL	11	1258827	97100
19	1258827	0	1
19	1258827	1	5363
19	1258827	2	5409
19	1258827	3	5430
19	1258827	4	5388
19	1258827	5	5424
19	1258827	6	5381
19	1258827	7	5408
19	1258827	8	5382
19	1258827	9	5367
19	1258827	10	5415
19	1258827	11	5390
19	1258827	12	5387
19	1258827	13	5418
19	1258827	14	5392
19	1258827	15	5363
19	1258827	16	5371
19	1258827	17	5376
19	1258827	18	5435
TOTAL	19	1258827	97100
23	1258827	0	1
23	1258827	1	4410
23	1258827	2	4393
23	1258827	3	4372
23	1258827	4	4424
23	1258827	5	4425
23	1258827	6	4429
23	1258827	7	4414
23	1258827	8	4422
23	1258827	9	4399
23	1258827	10	4414
23	1258827	11	4411
23	1258827	12	4392
23	1258827	13	4427
23	1258827	14	4429
23	1258827	15	4423
23	1258827	16	4418
23	1258827	17	4422
23	1258827	18	4403
23	1258827	19	4424
23	1258827	20	4418
23	1258827	21	4407
23	1258827	22	4423
TOTAL	23	1258827	97100
7	1318133	0	1
7	1318133	1	16899
7	1318133	2	16859
7	1318133	3	16897
7	1318133	4	16840
7	1318133	5	16900
7	1318133	6	16909
TOTAL	7	1318133	101305
8	1318133	0	0
8	1318133	1	25239
8	1318133	2	1
8	1318133	3	25376
8	1318133	4	0
8	1318133	5	25362
8	1318133	6	0
8	1318133	7	25327
TOTAL	8	1318133	101305
11	1318133	0	1
11	1318133	1	10111
11	1318133	2	10161
11	1318133	3	10116
11	1318133	4	10143
11	1318133	5	10106
11	1318133	6	10173
11	1318133	7	10125
11	1318133	8	10142
11	1318133	9	10106
11	1318133	10	10121
TOTAL	11	1318133	101305
19	1318133	0	1
19	1318133	1	5587
19	1318133	2	5636
19	1318133	3	5658
19	1318133	4	5617
19	1318133	5	5668
19	1318133	6	5610
19	1318133	7	5641
19	1318133	8	5634
19	1318133	9	5603
19	1318133	10	5662
19	1318133	11	5631
19	1318133	12	5607
19	1318133	13	5652
19	1318133	14	5638
19	1318133	15	5588
19	1318133	16	5597
19	1318133	17	5607
19	1318133	18	5668
TOTAL	19	1318133	101305
23	1318133	0	1
23	1318133	1	4604
23	1318133	2	4600
23	1318133	3	4559
23	1318133	4	4605
23	1318133	5	4619
23	1318133	6	4629
23	1318133	7	4607
23	1318133	8	4615
23	1318133	9	4585
23	1318133	10	4606
23	1318133	11	4596
23	1318133	12	4592
23	1318133	13	4623
23	1318133	14	4625
23	1318133	15	4609
23	1318133	16	4603
23	1318133	17	4604
23	1318133	18	4593
23	1318133	19	4615
23	1318133	20	4606
23	1318133	21	4605
23	1318133	22	4604
TOTAL	23	1318133	101305
7	1380233	0	1
7	1380233	1	17623
7	1380233	2	17580
7	1380233	3	17643
7	1380233	4	17571
7	1380233	5	17652
7	1380233	6	17633
TOTAL	7	1380233	105703
8	1380233	0	0
8	1380233	1	26333
8	1380233	2	1
8	1380233	3	26467
8	1380233	4	0
8	1380233	5	26462
8	1380233	6	0
8	1380233	7	26440
TOTAL	8	1380233	105703
11	1380233	0	1
11	1380233	1	10553
11	1380233	2	10579
11	1380233	3	10545
11	1380233	4	10585
11	1380233	5	10554
11	1380233	6	10607
11	1380233	7	10554
11	1380233	8	10598
11	1380233	9	10555
11	1380233	10	10572
TOTAL	11	1380233	105703
19	1380233	0	1
19	1380233	1	5840
19	1380233	2	5883
19	1380233	3	5913
19	1380233	4	5867
19	1380233	5	5903
19	1380233	6	5862
19	1380233	7	5885
19	1380233	8	5879
19	1380233	9	5844
19	1380233	10	5901
19	1380233	11	5864
19	1380233	12	5842
19	1380233	13	5888
19	1380233	14	5880
19	1380233	15	5852
19	1380233	16	5835
19	1380233	17	5849
19	1380233	18	5915
TOTAL	19	1380233	105703
23	1380233	0	1
23	1380233	1	4803
23	1380233	2	4806
23	1380233	3	4778
23	1380233	4	4814
23	1380233	5	4815
23	1380233	6	4817
23	1380233	7	4815
23	1380233	8	4803
23	1380233	9	4803
23	1380233	10	4797
23	1380233	11	4800
23	1380233	12	4781
23	1380233	13	4827
23	1380233	14	4819
23	1380233	15	4820
23	1380233	16	4799
23	1380233	17	4798
23	1380233	18	4790
23	1380233	19	4795
23	1380233	20	4809
23	1380233	21	4803
23	1380233	22	4810
TOTAL	23	1380233	105703
7	1445259	0	1
7	1445259	1	18358
7	1445259	2	18348
7	1445259	3	18427
7	1445259	4	18344
7	1445259	5	18426
7	1445259	6	18387
TOTAL	7	1445259	110291
8	1445259	0	0
8	1445259	1	27480
8	1445259	2	1
8	1445259	3	27610
8	1445259	4	0
8	1445259	5	27619
8	1445259	6	0
8	1445259	7	27581
TOTAL	8	1445259	110291
11	1445259	0	1
11	1445259	1	11015
11	1445259	2	11032
11	1445259	3	11001
11	1445259	4	11042
11	1445259	5	11015
11	1445259	6	11058
11	1445259	7	11024
11	1445259	8	11057
11	1445259	9	11031
11	1445259	10	11015
TOTAL	11	1445259	110291
19	1445259	0	1
19	1445259	1	6094
19	1445259	2	6131
19	1445259	3	6174
19	1445259	4	6119
19	1445259	5	6145
19	1445259	6	6119
19	1445259	7	6148
