q	a	window	K_zeros_per_character	n_points	correlation	rmse	endpoint_error
7	3	full	1	438	0.574392691	1.35175541	-1.8861542
7	3	full	3	438	0.732318052	1.14142235	-1.06906109
7	3	full	10	438	0.867959052	0.869184723	-0.293863634
7	3	full	25	438	0.916181269	0.732360539	-0.486122403
7	3	x_ge_1e10	1	234	0.483322055	1.35779777	-1.8861542
7	3	x_ge_1e10	3	234	0.728635091	1.06776714	-1.06906109
7	3	x_ge_1e10	10	234	0.858267357	0.814347843	-0.293863634
7	3	x_ge_1e10	25	234	0.910756309	0.670432742	-0.486122403
7	3	x_ge_1e13	1	78	0.443850462	1.28507891	-1.8861542
7	3	x_ge_1e13	3	78	0.733148746	0.979746842	-1.06906109
7	3	x_ge_1e13	10	78	0.844083342	0.782865985	-0.293863634
7	3	x_ge_1e13	25	78	0.91724689	0.595574664	-0.486122403
7	3	top_decade	1	53	0.417787303	1.24788412	-1.8861542
7	3	top_decade	3	53	0.781200438	0.851822727	-1.06906109
7	3	top_decade	10	53	0.823714642	0.774838073	-0.293863634
7	3	top_decade	25	53	0.919504754	0.55431987	-0.486122403
7	5	full	1	438	0.496874169	1.48186817	-2.1401709
7	5	full	3	438	0.699993903	1.2348916	-1.75009989
7	5	full	10	438	0.855946629	0.923658279	0.0749351083
7	5	full	25	438	0.913114629	0.7589294	-0.971697805
7	5	x_ge_1e10	1	234	0.500207851	1.45278	-2.1401709
7	5	x_ge_1e10	3	234	0.676186765	1.24091191	-1.75009989
7	5	x_ge_1e10	10	234	0.849235366	0.90262771	0.0749351083
7	5	x_ge_1e10	25	234	0.914366076	0.710937711	-0.971697805
7	5	x_ge_1e13	1	78	0.541398597	1.29136846	-2.1401709
7	5	x_ge_1e13	3	78	0.70750678	1.08911563	-1.75009989
7	5	x_ge_1e13	10	78	0.81767086	0.891544731	0.0749351083
7	5	x_ge_1e13	25	78	0.92109747	0.6191076	-0.971697805
7	5	top_decade	1	53	0.596605981	1.32169576	-2.1401709
7	5	top_decade	3	53	0.730453983	1.12212026	-1.75009989
7	5	top_decade	10	53	0.838156171	0.900277204	0.0749351083
7	5	top_decade	25	53	0.928354131	0.636442699	-0.971697805
7	6	full	1	438	0.724060827	1.35737731	-1.76460409
7	6	full	3	438	0.820574111	1.13396007	-1.91031452
7	6	full	10	438	0.904004654	0.865802036	0.0381161501
7	6	full	25	438	0.948010239	0.665528379	-0.0559022523
7	6	x_ge_1e10	1	234	0.727456051	1.34536604	-1.76460409
7	6	x_ge_1e10	3	234	0.805031952	1.16530171	-1.91031452
7	6	x_ge_1e10	10	234	0.900087701	0.867327091	0.0381161501
7	6	x_ge_1e10	25	234	0.94837803	0.646784286	-0.0559022523
7	6	x_ge_1e13	1	78	0.69770075	1.30127562	-1.76460409
7	6	x_ge_1e13	3	78	0.796777135	1.09745351	-1.91031452
7	6	x_ge_1e13	10	78	0.904711153	0.783270551	0.0381161501
7	6	x_ge_1e13	25	78	0.958528475	0.536932183	-0.0559022523
7	6	top_decade	1	53	0.730824403	1.30178639	-1.76460409
7	6	top_decade	3	53	0.841125222	1.02204223	-1.91031452
7	6	top_decade	10	53	0.904616265	0.814466183	0.0381161501
7	6	top_decade	25	53	0.964909993	0.514746213	-0.0559022523
8	3	full	1	438	0.592049168	1.11117253	-1.00941907
8	3	full	3	438	0.748954808	0.950747981	-0.491447251
8	3	full	10	438	0.859801562	0.790334263	-0.332318579
8	3	full	25	438	0.913499219	0.692460909	-0.474879613
8	3	x_ge_1e10	1	234	0.599418573	1.02785968	-1.00941907
8	3	x_ge_1e10	3	234	0.761625298	0.853188909	-0.491447251
8	3	x_ge_1e10	10	234	0.878236249	0.668262211	-0.332318579
8	3	x_ge_1e10	25	234	0.917075908	0.590379299	-0.474879613
8	3	x_ge_1e13	1	78	0.568946281	0.953251258	-1.00941907
8	3	x_ge_1e13	3	78	0.761080431	0.770412577	-0.491447251
8	3	x_ge_1e13	10	78	0.83116487	0.674403445	-0.332318579
8	3	x_ge_1e13	25	78	0.896773622	0.56658909	-0.474879613
8	3	top_decade	1	53	0.582953146	1.02811724	-1.00941907
8	3	top_decade	3	53	0.785738545	0.801279416	-0.491447251
8	3	top_decade	10	53	0.843424979	0.698128898	-0.332318579
8	3	top_decade	25	53	0.8984564	0.587441701	-0.474879613
8	5	full	1	438	0.659605537	1.23936162	-1.607349
8	5	full	3	438	0.777869646	1.06293458	-0.896305484
8	5	full	10	438	0.89611067	0.814651676	-0.941907856
8	5	full	25	438	0.939103161	0.694003356	-1.28904393
8	5	x_ge_1e10	1	234	0.646525925	1.29985436	-1.607349
8	5	x_ge_1e10	3	234	0.800137971	1.03819875	-0.896305484
8	5	x_ge_1e10	10	234	0.91002681	0.757000753	-0.941907856
8	5	x_ge_1e10	25	234	0.947340559	0.621621252	-1.28904393
8	5	x_ge_1e13	1	78	0.594279242	1.28786632	-1.607349
8	5	x_ge_1e13	3	78	0.807834377	0.971493976	-0.896305484
8	5	x_ge_1e13	10	78	0.903869558	0.733170546	-0.941907856
8	5	x_ge_1e13	25	78	0.942792114	0.601941755	-1.28904393
8	5	top_decade	1	53	0.69353	1.26444242	-1.607349
8	5	top_decade	3	53	0.842769781	0.954847342	-0.896305484
8	5	top_decade	10	53	0.893692999	0.799675074	-0.941907856
8	5	top_decade	25	53	0.936253858	0.651274405	-1.28904393
8	7	full	1	438	0.681459453	1.11904355	-0.106534216
8	7	full	3	438	0.796910876	0.961749787	0.38333453
8	7	full	10	438	0.887001649	0.798976095	-0.231501297
8	7	full	25	438	0.93491227	0.686398588	-0.597382682
8	7	x_ge_1e10	1	234	0.674155826	1.11382451	-0.106534216
8	7	x_ge_1e10	3	234	0.800910241	0.929785353	0.38333453
8	7	x_ge_1e10	10	234	0.898373053	0.731971169	-0.231501297
8	7	x_ge_1e10	25	234	0.941706185	0.609503086	-0.597382682
8	7	x_ge_1e13	1	78	0.687389412	1.12932918	-0.106534216
8	7	x_ge_1e13	3	78	0.813696237	0.934677431	0.38333453
8	7	x_ge_1e13	10	78	0.903864901	0.73573715	-0.231501297
8	7	x_ge_1e13	25	78	0.944439953	0.609320524	-0.597382682
8	7	top_decade	1	53	0.6163891	1.18259549	-0.106534216
8	7	top_decade	3	53	0.772888958	0.969985652	0.38333453
8	7	top_decade	10	53	0.891901975	0.735090325	-0.231501297
8	7	top_decade	25	53	0.930923926	0.625584092	-0.597382682
11	2	full	1	438	0.779885331	1.96483512	2.30756136
11	2	full	3	438	0.859341245	1.60962103	2.36395543
11	2	full	10	438	0.928728896	1.17703073	1.27793971
11	2	full	25	438	0.958811942	0.916239263	0.678711151
11	2	x_ge_1e10	1	234	0.826850068	1.82310407	2.30756136
11	2	x_ge_1e10	3	234	0.874315495	1.57404637	2.36395543
11	2	x_ge_1e10	10	234	0.934552333	1.16017759	1.27793971
11	2	x_ge_1e10	25	234	0.960624327	0.917555099	0.678711151
11	2	x_ge_1e13	1	78	0.648368039	2.01446458	2.30756136
11	2	x_ge_1e13	3	78	0.725256735	1.79952954	2.36395543
11	2	x_ge_1e13	10	78	0.897248138	1.15881156	1.27793971
11	2	x_ge_1e13	25	78	0.938341081	0.907684689	0.678711151
11	2	top_decade	1	53	0.428513436	2.05313344	2.30756136
11	2	top_decade	3	53	0.491982764	1.98113033	2.36395543
11	2	top_decade	10	53	0.84805134	1.20242909	1.27793971
11	2	top_decade	25	53	0.922922643	0.875302002	0.678711151
11	6	full	1	438	0.773291309	2.1130174	-2.90162945
11	6	full	3	438	0.86964171	1.6512172	-1.17707368
11	6	full	10	438	0.933934519	1.20626369	-0.653313211
11	6	full	25	438	0.962072436	0.934907714	0.121258328
11	6	x_ge_1e10	1	234	0.796688255	2.05248484	-2.90162945
11	6	x_ge_1e10	3	234	0.882626418	1.59943938	-1.17707368
11	6	x_ge_1e10	10	234	0.938801336	1.18292321	-0.653313211
11	6	x_ge_1e10	25	234	0.961762896	0.952628165	0.121258328
11	6	x_ge_1e13	1	78	0.794349504	2.10708095	-2.90162945
11	6	x_ge_1e13	3	78	0.867727647	1.72735363	-1.17707368
11	6	x_ge_1e13	10	78	0.928724562	1.29196265	-0.653313211
11	6	x_ge_1e13	25	78	0.965678127	0.911567965	0.121258328
11	6	top_decade	1	53	0.796396132	2.19211414	-2.90162945
11	6	top_decade	3	53	0.859655073	1.85601877	-1.17707368
11	6	top_decade	10	53	0.931379742	1.32166002	-0.653313211
11	6	top_decade	25	53	0.966240979	0.93500675	0.121258328
11	7	full	1	438	0.718617995	1.86695493	-0.49791807
11	7	full	3	438	0.823307565	1.53186663	-1.01864834
11	7	full	10	438	0.894659936	1.2121856	-1.55866614
11	7	full	25	438	0.940481187	0.936124827	-0.921089655
11	7	x_ge_1e10	1	234	0.728656264	1.86441088	-0.49791807
11	7	x_ge_1e10	3	234	0.83937533	1.48550806	-1.01864834
11	7	x_ge_1e10	10	234	0.908081777	1.15062955	-1.55866614
11	7	x_ge_1e10	25	234	0.944836655	0.912264018	-0.921089655
11	7	x_ge_1e13	1	78	0.657922567	1.60411055	-0.49791807
11	7	x_ge_1e13	3	78	0.76020276	1.38918708	-1.01864834
11	7	x_ge_1e13	10	78	0.835240385	1.17497647	-1.55866614
11	7	x_ge_1e13	25	78	0.920875743	0.840680549	-0.921089655
11	7	top_decade	1	53	0.603575465	1.71508648	-0.49791807
11	7	top_decade	3	53	0.717161906	1.49715474	-1.01864834
11	7	top_decade	10	53	0.795288595	1.30177834	-1.55866614
11	7	top_decade	25	53	0.919932302	0.845367213	-0.921089655
11	8	full	1	438	0.680718474	2.02113493	2.84817582
11	8	full	3	438	0.806991911	1.63533132	2.46131405
