q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
7	1000000	3	1	3,5	27
7	1047112	3	1	3	21
7	1148100	1	1	6	15
7	1202189	1	2	3,6	2
7	1258827	1	1	6	15
7	1380233	3	1	5	10
7	1445259	3	1	3	29
7	1513348	3	1	5	37
7	1584645	3	1	3	-1
7	1737475	3	1	5	23
7	1819331	3	1	3	16
7	2511101	3	1	5	44
7	2629405	1	1	6	58
7	2882995	2	1	5	0
7	3465905	3	1	5	28
7	3629192	2	1	5	25
7	4362975	1	1	6	45
7	4568524	2	1	5	67
7	4783758	1	1	6	98
7	5245122	2	1	5	82
7	5492231	2	1	3	59
7	5750982	1	1	6	62
7	6021923	2	1	3	59
7	7580560	1	1	6	171
7	7937696	2	1	3	149
7	8311658	1	1	6	197
7	9542613	2	1	5	184
7	9992186	3	1	3	133
7	10462940	2	1	3	26
7	11472027	3	1	3	-10
7	12578434	2	1	3	-4
7	13171031	3	1	3	-35
7	13791547	2	1	3	48
7	14441297	3	1	3	23
7	15121658	3	1	3,5	32
7	15834073	3	1	5	-14
7	18179095	2	1	5	50
7	19035552	3	1	5	47
7	21854713	1	2	3,6	95
7	22884336	3	1	3,5	90
7	23962467	1	1	6	98
7	25091391	2	1	3	141
7	26273501	1	2	3,6	106
7	27511303	2	1	3	140
7	28807420	3	1	3	172
7	30164600	1	2	5,6	224
7	31585720	1	1	6	228
7	33073793	2	1	5	169
7	34631971	3	1	5	22
7	36263559	2	1	5	198
7	39760958	3	1	5	113
7	47800197	2	1	5	338
7	50052168	3	1	5	129
7	52410235	2	1	5	278
7	54879395	1	1	6	188
7	57464883	3	1	3	30
7	60172178	1	1	6	180
7	79314940	3	1	5	203
7	83051639	1	1	6	249
7	91061464	2	1	5	302
7	99843788	1	1	6	548
7	109473114	2	1	3	370
7	165670951	3	1	3	-145
7	181648906	3	1	5	-85
7	218376363	3	1	3	183
7	228664549	3	1	5	11
7	239437434	3	1	3	-56
7	262529718	3	1	5	-196
7	274898064	3	1	3	-263
7	301410309	3	1	5	198
7	315610406	2	1	5	594
7	330479499	1	1	6	980
7	379423438	3	1	3	287
7	397298903	1	1	6	646
7	416016520	2	1	5	267
7	477628472	3	1	5	91
7	500130590	2	1	3	266
7	523692831	3	1	5	484
7	574199817	3	1	3	530
7	601251621	1	1	6	887
7	629577895	2	1	5	710
7	659238680	1	1	6	751
7	792529658	3	1	5	777
