q	x	a	E_observed	E_K1	E_K3	E_K10	E_K25
7	1000000	3	3.48150866061	0.655846627785	1.32214586895	1.10638477704	1.81572197899
7	1047112	3	2.27574919726	0.465574621951	0.844714994659	1.35893119688	1.73456468406
7	1096444	3	1.91258575954	0.370029327163	0.458414438179	1.29614010654	0.583002509718
7	1148100	3	0.390677370072	0.375764777597	0.221495091118	0.567368197605	0.278989946269
7	1202189	3	0.153218847965	0.483228385801	0.168247062002	-0.515765755637	-0.21955660144
7	1258827	3	0.225337040944	0.686545759613	0.304229561306	-1.04846215082	-0.66419238849
7	1318133	3	-0.147287485342	0.973704035854	0.607359597387	-0.305645708761	-0.208671852478
7	1380233	3	1.44406165523	1.32717246664	1.03415374785	1.45893833346	0.997311228778
7	1445259	3	4.88449951929	1.72489694688	1.52932028576	3.08968387278	2.83598826565
7	1513348	3	4.71944167237	2.14161288636	2.0362810274	3.55184773487	3.76993355176
7	1584645	3	3.40218461448	2.55042469341	2.50627396677	2.90272396404	3.28811344129
7	1659302	3	3.60232721442	2.92449693437	2.9041574354	2.16693162498	2.37301958175
7	1737475	3	2.28904654224	3.23876479754	3.21012047064	2.22339947143	1.60039332142
7	1819331	3	3.59060238395	3.47159885957	3.41763383925	2.91548509255	2.52107296738
7	1905044	3	4.52584842359	3.60620682856	3.52877337668	3.36278465073	4.07011776438
7	1994794	3	4.19044694829	3.6317612668	3.54880556437	3.08997598086	3.32591004564
7	2088774	3	3.38313134342	3.544143917	3.481823223	2.64159842161	2.28135148196
7	2187180	3	3.43505754931	3.3462545555	3.32877491798	2.93401282218	2.89450879639
7	2290223	3	3.7158382105	3.04785377967	3.08838190818	4.06510073616	3.80011515121
7	2398120	3	6.03322108572	2.66498304825	2.76051198185	4.97088272626	5.05410962193
7	2511101	3	5.1332620268	2.21895068342	2.35071291089	4.40135149606	5.10928300314
7	2629405	3	3.00833553399	1.73501121882	1.87427941891	2.21662309346	1.92719915038
7	2753282	3	-1.23323325122	1.24078047787	1.358220774	-0.365250986168	-1.0396683781
7	2882995	3	-1.3140352812	0.764510665833	0.840107460384	-1.81806153694	-1.42262545258
7	3018819	3	0.309146076079	0.333357045311	0.363669931007	-1.56995404554	-1.32591450956
7	3161042	3	-0.353550830531	-0.0282692066254	-0.0280488886051	-0.284564250434	-0.554524072643
7	3309966	3	1.9308814972	-0.30014492492	-0.300378663237	0.921173895811	1.22759721469
7	3465905	3	2.62070383699	-0.467380904367	-0.433580967833	1.38608508927	1.36627736922
7	3629192	3	0.713582979449	-0.521215194573	-0.42650493808	1.12432729377	0.398791788844
7	3800171	3	1.91188658654	-0.459382281942	-0.296198309776	0.451585520028	0.780909147658
7	3979205	3	2.10260235388	-0.286074869443	-0.0733946800484	-0.336191347565	0.529083229696
7	4166674	3	-0.403235601114	-0.0114900617719	0.205150659457	-0.929491931317	-1.45430819301
7	4362975	3	-0.966166835162	0.348981735634	0.505599113735	-0.933860606725	-1.63710940742
