q	conrey_m	count_a	count_b	max_abs_difference	max_abs_lfun_at_zero	status
7	2	44	44	0.e-38	5.95873469210069625118768899991 e-37	PASS
7	3	45	45	0.e-38	6.59847368412831325513183065602 e-37	PASS
7	4	44	44	0.e-38	6.67317643714243211407248729568 e-37	PASS
7	5	44	44	0.e-38	1.09155927947387928548461212155 e-36	PASS
7	6	45	45	0.e-38	7.00341456493615531508085224761 e-37	PASS
8	3	46	46	0.e-38	6.11127098760511425251406054627 e-37	PASS
8	5	46	46	0.e-38	9.54606139091842609003278357283 e-37	PASS
8	7	37	37	0.e-38	5.52705061542715476821687624740 e-37	PASS
11	2	50	50	0.e-38	1.03353421830940987738752851734 e-36	PASS
11	3	50	50	0.e-38	1.24266936911691926726607966427 e-36	PASS
11	4	50	50	0.e-38	1.17990386971228451816554840765 e-36	PASS
11	5	50	50	0.e-38	1.06096148882972824229934557406 e-36	PASS
11	6	51	51	0.e-38	1.37692365761090792122226449577 e-36	PASS
11	7	51	51	0.e-38	1.46078895306383872802766892319 e-36	PASS
11	8	50	50	0.e-38	9.46785337939720754591670958903 e-37	PASS
11	9	50	50	0.e-38	9.28994996169423665099264547891 e-37	PASS
11	10	50	50	0.e-38	1.51825457481606795022180323418 e-36	PASS
19	2	58	58	0.e-38	8.75893586091751908813709890730 e-37	PASS
19	3	57	57	0.e-38	1.14716640492626479375428787253 e-36	PASS
19	4	57	57	0.e-38	1.03915572116887297699368601510 e-36	PASS
19	5	57	57	0.e-38	1.43052410437365636218483630909 e-36	PASS
19	6	57	57	0.e-38	8.37543528170634235327319771482 e-37	PASS
19	7	57	57	0.e-38	1.24959460090094953959282966140 e-36	PASS
19	8	58	58	0.e-38	1.23118302587532321043743443922 e-36	PASS
19	9	57	57	0.e-38	8.89659070954769058022271946279 e-37	PASS
19	10	58	58	0.e-38	1.83703730328488843340087639863 e-36	PASS
19	11	57	57	0.e-38	9.89039301572157404482973156247 e-37	PASS
19	12	57	57	0.e-38	8.77452415479158705259255732716 e-37	PASS
19	13	57	57	0.e-38	1.40985915808026309977349329253 e-36	PASS
19	14	57	57	0.e-38	1.40767976457081269216702822737 e-36	PASS
19	15	57	57	0.e-38	1.14621560379503851761489685914 e-36	PASS
19	16	57	57	0.e-38	1.48519345658568722464179873085 e-36	PASS
19	17	57	57	0.e-38	7.70235869779650558918532659723 e-37	PASS
19	18	57	57	0.e-38	1.04271085895748893282223620585 e-36	PASS
23	2	59	59	0.e-38	9.48385316887325747539158586855 e-37	PASS
23	3	60	60	0.e-38	1.45006008355525361083214510457 e-36	PASS
23	4	59	59	0.e-38	7.11258224522107565501476544432 e-37	PASS
23	5	60	60	0.e-38	1.06867684573201321902821610579 e-36	PASS
23	6	59	59	0.e-38	8.66637239822147555736880933547 e-37	PASS
23	7	60	60	0.e-38	1.44518387469276855858181632224 e-36	PASS
23	8	59	59	0.e-38	1.34597984852026229739993081381 e-36	PASS
23	9	60	60	0.e-38	1.48205553594146099515449930351 e-36	PASS
23	10	59	59	0.e-38	9.10284354779414454514026741207 e-37	PASS
23	11	60	60	0.e-38	7.26742683927522379915024907381 e-37	PASS
23	12	60	60	0.e-38	1.14371873877999864334490675396 e-36	PASS
23	13	60	60	0.e-38	1.42674059453147936625759185869 e-36	PASS
23	14	60	60	0.e-38	1.53583284948309847555907223639 e-36	PASS
23	15	60	60	0.e-38	8.64988617998002875441509579913 e-37	PASS
23	16	59	59	0.e-38	1.36457452196436998527513896541 e-36	PASS
23	17	60	60	0.e-38	1.06077184762257072873472615032 e-36	PASS
23	18	59	59	0.e-38	1.14597916004774246475382638792 e-36	PASS
23	19	60	60	0.e-38	1.51066973767562849271649249384 e-36	PASS
23	20	59	59	0.e-38	1.75334646406224521083937529324 e-36	PASS
23	21	59	59	0.e-38	1.24597465483241511225026162890 e-36	PASS
23	22	60	60	0.e-38	8.58687152046430802203401523931 e-37	PASS
