process,quantity,point,ci_lo,ci_hi,se
ARMAX_a0.5,theta_runs,0.4824,0.4824,0.4824,0.0
ARMAX_a0.5,theta_fs,0.4883992499857607,0.4877131380301923,0.4914179389143436,0.001183357597108376
ARMAX_a0.5,CV2,2.9662947604052863,2.941753236075524,2.971735375745302,0.00951109745671094
ARMAX_a0.5,predicted_fs,0.24325109602040876,0.2429164857991311,0.24476479687709035,0.0005891795939253599
ARMAX_a0.5,delta,0.24514815396535197,0.24479661496708516,0.24665314203725328,0.0005944369691986625
Farey_LargeGap,theta_runs,0.6584330785750379,0.6584330785750379,0.6584330785750379,0.0
Farey_LargeGap,theta_fs,0.38380383978366317,0.383800015141374,0.3838072039012104,2.0262588169189056e-05
Farey_LargeGap,CV2,4.027451856143029,4.027406147028546,4.027501086092765,0.00026275190523035257
Farey_LargeGap,predicted_fs,0.2619351111444939,0.26193254553297535,0.26193749195139127,1.3694757426387958e-05
Farey_LargeGap,delta,0.1218687286391694,0.12186746960839866,0.12186971194981912,6.567939274427173e-06
Farey_HardEdge,theta_runs,0.6584330785750379,0.6584330785750379,0.6584330785750379,0.0
Farey_HardEdge,theta_fs,0.38380383978366317,0.383800015141374,0.3838072039012104,2.0262588169189056e-05
Farey_HardEdge,CV2,4.027451856143029,4.027406147028546,4.027501086092765,0.00026275190523035257
Farey_HardEdge,predicted_fs,0.2619351111444939,0.26193254553297535,0.26193749195139127,1.3694757426387958e-05
Farey_HardEdge,delta,0.1218687286391694,0.12186746960839866,0.12186971194981912,6.567939274427173e-06
SPX_NegLogRet,theta_runs,0.9047619047619047,0.9047619047619048,0.9047619047619048,1.1158161231197418e-16
SPX_NegLogRet,theta_fs,0.4126570543441931,0.3863611147512017,0.4528741117943277,0.02449812844682266
SPX_NegLogRet,CV2,3.684030423393047,3.246387143878194,3.984640439189452,0.271241106273323
SPX_NegLogRet,predicted_fs,0.387655011253522,0.3630199272343212,0.42613255650335846,0.023349385313208074
SPX_NegLogRet,delta,0.025002043090671163,0.023003904097879224,0.02674155529096922,0.0013269276753495793
Yellowstone_Interevent,theta_runs,0.15296803652968036,0.15296803652968036,0.15296803652968036,0.0
Yellowstone_Interevent,theta_fs,0.11954113582500599,0.11888398418333837,0.12280426004504498,0.0009009407476825571
Yellowstone_Interevent,CV2,14.96890513574494,14.525972684424472,15.052645349224402,0.12020611567988736
Yellowstone_Interevent,predicted_fs,0.01915933420789013,0.019058296404493733,0.019704792690140003,0.00014720663319506833
Yellowstone_Interevent,delta,0.10038180161711587,0.09982568777884464,0.10309946735490498,0.0007540018242072412
