# GATE-2 corridor-law sweep (M1 q=18-210 + M2 q=212-420), 2026-06-05. n_trapped=0 ALL q => no-island/value-safe q<=420.
q,lam,thr,Lmax,peak_below,margin,margin*q^2,n_trapped,n_sub
18,1.9696155060,0.1308746810,4,0.1308714543,3.227e-06,0.00105,0,10333
20,1.9753766812,0.1297329315,5,0.1297283421,4.589e-06,0.00184,0,9663
22,1.9796428838,0.1288960002,5,0.1288945169,1.483e-06,0.00072,0,9187
24,1.9828897227,0.1282638626,6,0.1282637847,7.795e-08,0.00004,0,8817
26,1.9854177482,0.1277745325,6,0.1277732007,1.332e-06,0.00090,0,8532
28,1.9874244198,0.1273878872,6,0.1273840638,3.823e-06,0.00300,0,8301
30,1.9890437907,0.1270770037,7,0.1270768599,1.438e-07,0.00013,0,8094
32,1.9903694533,0.1268232582,7,0.1268227186,5.396e-07,0.00055,0,7940
34,1.9914683526,0.1266134295,8,0.1266123058,1.124e-06,0.00130,0,7829
36,1.9923893962,0.1264379177,8,0.1264320359,5.882e-06,0.00762,0,7679
38,1.9931689860,0.1262896145,8,0.1262867883,2.826e-06,0.00408,0,7615
40,1.9938346675,0.1261631638,9,0.1261619930,1.171e-06,0.00187,0,7558
42,1.9944075944,0.1260544676,16,0.1260530347,1.433e-06,0.00253,0,7459
44,1.9949042292,0.1259603466,16,0.1259572889,3.058e-06,0.00592,0,7348
46,1.9953375384,0.1258783034,16,0.1258757512,2.552e-06,0.00540,0,7325
48,1.9957178465,0.1258063543,16,0.1258058875,4.667e-07,0.00108,0,7312
50,1.9960534569,0.1257429068,16,0.1257422682,6.387e-07,0.00160,0,7320
52,1.9963511084,0.1256866712,18,0.1256863411,3.302e-07,0.00089,0,7268
54,1.9966163165,0.1256365935,18,0.1256362510,3.425e-07,0.00100,0,7221
56,1.9968536300,0.1255918054,18,0.1255907665,1.039e-06,0.00326,0,7169
58,1.9970668277,0.1255515869,18,0.1255480617,3.525e-06,0.01186,0,7127
60,1.9972590695,0.1255153363,19,0.1255054376,9.899e-06,0.03564,0,7090
62,1.9974330143,0.1254825480,19,0.1254820442,5.038e-07,0.00194,0,7064
64,1.9975909124,0.1254527943,19,0.1254494200,3.374e-06,0.01382,0,7027
66,1.9977346784,0.1254257118,19,0.1254254458,2.660e-07,0.00116,0,6994
68,1.9978659496,0.1254009899,23,0.1253994205,1.569e-06,0.00726,0,6964
70,1.9979861331,0.1253783618,21,0.1253739456,4.416e-06,0.02164,0,6950
72,1.9980964432,0.1253575974,21,0.1253553032,2.294e-06,0.01189,0,6973
74,1.9981979324,0.1253384975,21,0.1253382445,2.530e-07,0.00139,0,7000
76,1.9982915168,0.1253208887,21,0.1253207334,1.553e-07,0.00090,0,7023
78,1.9983779963,0.1253046196,21,0.1253032532,1.366e-06,0.00831,0,7047
80,1.9984580725,0.1252895578,22,0.1252859825,3.575e-06,0.02288,0,7046
82,1.9985323621,0.1252755865,22,0.1252738560,1.731e-06,0.01164,0,7032
84,1.9986014096,0.1252626029,22,0.1252623910,2.119e-07,0.00150,0,7021
86,1.9986656967,0.1252505161,22,0.1252505077,8.311e-09,0.00006,0,7011
88,1.9987256513,0.1252392452,24,0.1252390054,2.398e-07,0.00186,0,6997
90,1.9987816540,0.1252287185,24,0.1252264356,2.283e-06,0.01849,0,6991
92,1.9988340447,0.1252188718,24,0.1252154441,3.428e-06,0.02901,0,6987
94,1.9988831275,0.1252096477,25,0.1252092411,4.066e-07,0.00359,0,6972
96,1.9989291750,0.1252009949,25,0.1251989245,2.070e-06,0.01908,0,6958
98,1.9989724324,0.1251928671,25,0.1251920467,8.204e-07,0.00788,0,6944
100,1.9990131207,0.1251852226,25,0.1251829065,2.316e-06,0.02316,0,6936
102,1.9990514394,0.1251780239,27,0.1251774767,5.472e-07,0.00569,0,6930
104,1.9990875690,0.1251712370,27,0.1251682460,2.991e-06,0.03235,0,6917
106,1.9991216730,0.1251648311,27,0.1251644510,3.800e-07,0.00427,0,6907
108,1.9991539002,0.1251587780,28,0.1251587438,3.421e-08,0.00040,0,6904
110,1.9991843857,0.1251530525,28,0.1251526353,4.172e-07,0.00505,0,6895
