field	value
modulus	19
conrey_m	13
conductor	19
order	18
parity	1
chi_minus_one	-1
root_left	0.01895639908022614299416416142284675655219221399702004258153398046224672068102271928157962443842821018
root_right	0.0189563990802261429941641614228467565521922139970200425815339804622467206810227192875143542795280844
root_width	5.93472984109987421717077641848e-84
left_hardy_z_sign	1
right_hardy_z_sign	-1
midpoint_l_abs_upper	[3.540616796861935390428592865383403317380e-85 +/- 1.51e-125]
top_decade_points	53
mode_rms_top_decade	6.71932703334982214826479580548
mode_correlation	0.727600207814534860894972408247
top_decade_phase_excursion_radians	0.0436339043030932417144031228043
