q=3 done  n_elts=6999450  63s
q=4 done  n_elts=4668874  54s
q=6 done  n_elts=3499990  43s
  q=3 s=0.8+1.5000i  |phi|exact=1.091317  relerr(X=60)=1.65e-02  relerr(X=120)=1.43e-02
  q=3 s=0.8+3.5000i  |phi|exact=0.986782  relerr(X=60)=1.23e-02  relerr(X=120)=1.01e-02
  q=3 s=0.8+7.0674i  |phi|exact=0.087831  relerr(X=60)=1.05e-01  relerr(X=120)=8.47e-02
  q=3 s=0.85+1.5000i  |phi|exact=1.105697  relerr(X=60)=1.08e-02  relerr(X=120)=8.71e-03
  q=3 s=0.85+3.5000i  |phi|exact=0.984566  relerr(X=60)=8.22e-03  relerr(X=120)=6.26e-03
  q=3 s=0.85+7.0674i  |phi|exact=0.160109  relerr(X=60)=3.57e-02  relerr(X=120)=2.85e-02
  q=3 s=0.9+1.5000i  |phi|exact=1.119549  relerr(X=60)=7.08e-03  relerr(X=120)=5.31e-03
  q=3 s=0.9+3.5000i  |phi|exact=0.982341  relerr(X=60)=5.47e-03  relerr(X=120)=3.88e-03
  q=3 s=0.9+7.0674i  |phi|exact=0.220435  relerr(X=60)=1.62e-02  relerr(X=120)=1.27e-02
  q=3 s=0.95+1.5000i  |phi|exact=1.132774  relerr(X=60)=4.64e-03  relerr(X=120)=3.24e-03
  q=3 s=0.95+3.5000i  |phi|exact=0.980105  relerr(X=60)=3.64e-03  relerr(X=120)=2.41e-03
  q=3 s=0.95+7.0674i  |phi|exact=0.271380  relerr(X=60)=8.34e-03  relerr(X=120)=6.36e-03
  q=4 s=0.8+1.5000i  |phi|exact=0.846064  relerr(X=60)=4.02e-02  relerr(X=120)=2.79e-02
  q=4 s=0.8+3.5000i  |phi|exact=0.637452  relerr(X=60)=3.71e-02  relerr(X=120)=2.45e-02
  q=4 s=0.8+7.0674i  |phi|exact=0.067292  relerr(X=60)=4.10e-01  relerr(X=120)=6.15e-02
  q=4 s=0.85+1.5000i  |phi|exact=0.821712  relerr(X=60)=2.75e-02  relerr(X=120)=1.78e-02
  q=4 s=0.85+3.5000i  |phi|exact=0.594034  relerr(X=60)=2.65e-02  relerr(X=120)=1.63e-02
